din4108 | set-document/default | set-document document { category=residential climate=zone2 airtightness-n50=2.5 psi-times-l-sum=0.02 rh-int=0.5 catalog-id=AW-01 material-id=mineral_wool airtightness-class=class2 t-int-c=20 solar-absorptance=0.6 irradiance-w-m2=600 moisture-mu-exterior=15 moisture-mu-interior=1.3 envelope-area-m2=100m2 bb2-details-conform=true application-type=DEO declared-application-class=dk layers [thickness-m:QTY lambda-w-mk:NUM] { 0.24m 0.81 0.14m 0.035 } } | 208 | 0100060541572d30310344454f06636c6173733202646b0c6d696e6572616c5f776f6f6c0b7265736964656e7469616c01000e0d1200060501140202000004b81e85eb51b8ce3fec51b81e85ebc13f010004ec51b81e85ebe93fec51b81e85eba13f020a010305000000000000044004057b14ae47e17a943f0505000000000000e03f060600070604080602090500000000000034400a05333333333333e33f0b050000000000c082400c050000000000002e400d05cdccccccccccf43f0e0500000000000059400f02100601110603
vdi3805 | set-document/default | set-document document { strict-mode=false manufacturer-file=header-version="3805" manufacturer=DEMO created="2026-07-22" charset=UTF-8 record-count=3 building-system-number=system-code="420" subsystem="10" sequence=1 extensions=fields={ } catalog=file=header-version="3805" manufacturer=DEMO created="2026-07-22" charset=UTF-8 record-count=3 building-system-number=system-code="420" subsystem="10" sequence=1 extensions=fields={ } extensions=fields={ } products [identity:REC title:REC sheet:UINT records:TABLE configuration:REC accessories:TABLE components:TABLE extensions:REC] { {manufacturer-code=DEMO product-group=HV article-number=VLV-50-001} {de="Stellventil DN50" en="Control valve DN50"} 2 [ {family="100" fields=[ "100" DEMO HV VLV-50-001 "2" ] extensions=fields={ }} {family="200" fields=[ "200" dn "50" ] extensions=fields={ }} ] {id=cfg.VLV-50-001 geometry-ref=geom.valve.50 parameters={ dn={ kind="integer" value=50 } kvs={ kind="decimal" unit={ delta=false kind="Volume" si_factor=1 symbol="m3/h" } value=4.5 } } function-refs=[ curve.kvs ]} [ ] [ ] {fields={ }} } edition-profile={ } correction-as-of=year=2024 month=1 index=entries [product-id:TEXT sheet:UINT tags:LIST dn:UINT] { VLV-50-001 2 [ "Stellventil DN50" "Control valve DN50" ] 50 } geometry={ geom.valve.50=id=geom.valve.50 bbox=min-x=0 min-y=0 min-z=0 max-x=0.15 max-y=0.2 max-z=0.1 parameters={ scale=1 } connections [id:TEXT medium:TEXT position:TUPLE direction:TUPLE diameter-mm:QTY] { in water 0,0.1,0.05 -1,0,0 50mm out water 0.15,0.1,0.05 1,0,0 50mm } } curves={ curve.kvs=id=curve.kvs x-unit=symbol="%" kind=dimensionless delta=true si-factor=0.01 y-unit=symbol=m3/h kind=volume delta=false si-factor=1 points [x:NUM y:NUM] { 0 0 100 4.5 } } limits=max-file-bytes=16777216 max-records=100000 max-field-length=8192 max-nesting-depth=32 } | 915 | 01001c0125023130033130300132033230300a323032362d30372d323204333830350334323002353012436f6e74726f6c2076616c766520444e35300444454d4f024856105374656c6c76656e74696c20444e3530055554462d380a564c562d35302d30303106566f6c756d650e6366672e564c562d35302d3030310963757276652e6b767307646563696d616c02646e0d67656f6d2e76616c76652e353002696e07696e7465676572036b7673046d332f68036f7574057363616c6505776174657201000e0d09000d0700060601060a020d0300060701060102040103060504060d050403060d01001000010d03000d0700060601060a020d0300060701060102040103060504060d050403060d01001000011401080000000d0300060a01060b02060e0100000d0200060c0106090200030203000014020300000502040100000c050602060a060b060e06030c030604061306080200000d010010000d010010000400000d04000610011002061311100207046b696e640616070576616c7565050000000000004940061711100307046b696e6406120704756e69741004070564656c74610107046b696e64060f070973695f666163746f7205000000000000f03f070673796d626f6c0618070576616c7565050000000000001240020614030c0106110500001400030000050100010200030600001400020000050100030700000d01001000020d01001000021000030d020004e80f0104010401050d01001401040000050e010003020200000c02060c06090300033206100106140d04000614010d060005000000000000000001050000000000000000020500000000000000000305333333333333c33f04059a9999999999c93f05059a9999999999b93f0214020500000515190100051b1b020000150300000000000000009a9999999999b93f9a9999999999a93f1503333333333333c33f9a9999999999b93f9a9999999999a93f0300001503000000000000f0bf000000000000000000000000000000001503000000000000f03f0000000000000000000000000000000004000400000000000049400000000000004940031001061a05000000000000f03f07100106110d04000611010d04000600010a00020203057b14ae47e17a843f020d04000618010a0302010305000000000000f03f031402020000040000000000000000000000000000594001000400000000000000000000000000001240080d040004808080080104a08d0602048040030420
vdi3805 | evaluate | evaluate | 4 | 01010000
vdi3805 | selected-check/some | selected-check index=2 | 7 | 01020001000402
vdi3805 | selected-check/none | selected-check | 4 | 01020000
norm | config/snapshot-default | snapshot config { } | 8 | 01000001000e0d00
norm | config/snapshot-9 | snapshot config { selected-check-index=9 } | 11 | 01000001000e0d01000409
norm | config/selected-check-some | selected-check index=2 | 7 | 01010001000402
norm | config/selected-check-none | selected-check | 4 | 01010000
din4108 | op/set-document-default | set-document "category=residential climate=zone2 airtightness-n50=2.5 psi-times-l-sum=0.02 rh-int=0.5 catalog-id=AW-01 material-id=mineral_wool airtightness-class=class2 t-int-c=20 solar-absorptance=0.6 irradiance-w-m2=600 moisture-mu-exterior=15 moisture-mu-interior=1.3 envelope-area-m2=100m2 bb2-details-conform=true application-type=DEO declared-application-class=dk\nlayers [thickness-m:QTY lambda-w-mk:NUM] {\n  0.24m 0.81\n  0.14m 0.035\n}\n" | 376 | 018953504b0d0a1a0a010000000100000001000000ef65ef8800000000000000000303332e012e00d1ff060541572d30310344454f06636c6173733202646b0c6d696e6572616c5f776f6f6c0b7265736964656e7469616ca761008e04037b9c012dc9bd1182600cc6f1bc21898adf1eb523d8689f74d694aea29d776ee0022e604da9bd3a831c150725037040fed573bf6703c2214104a06c7babd2eca775daadb706a061964e0fc538440c7d64c497e479cccf7765b7bf8ac048682c38713a58ccfbbe42a783bdae36f3776773fe7eba1a5db89d6c892b096b895ae292ad8e01033530013000cfff0074d5b452853e84fe8dee59692627096dfff20ca8e407db800b8cdd40a39b4efd5b840101203b000000009c01120006d3ff379c0000007aa3646053504b464f4f54310100000001000000df000000000000003d000000000000007701000000000000cdaf50edcd4db2790dc01469550e8dd326ef71a4e2ab91b2731ac1620456ccd200000000000000000b91f92d
din16798 | op/set-document-default | set-document "annex=de occupancy=residential comfort-category=II t-op-c=22 rh-percent=50pct air-speed-m-s=0.1m/s theta-rm-c=15 co2-ppm=800 df-percent=2.5pct l-aeq-db=24 persons=10 ida-class=\"2\" ventilation-m3-h=280 floor-area-m2=90m2 bedrooms=3 dwelling-ventilation-m3-h=63 occupants=3 residential-ventilation-m3-h=80 sfp-w-m3-s=1500 sfp-required-class=4 heat-recovery-eta=0.75 heat-recovery-eta-min=0.7 system-type=central_mech years-since-inspection=1 humidification-required-kg-h=2 humidification-provided-kg-h=2 fan-q-v-m3-s=1 fan-t-run-h=8h fan-energy-reference-kwh=15 night-setback-k=3.5K hr-m-dot-kg-s=0.5 hr-cp-j-kgk=1005 hr-delta-t-c=15 hr-t-h=10h hr-savings-reference-kwh=50 n50-h-inv=1.5 volume-m3=500m3 infiltration-allowance-m3-h=45 cellar-area-m2=50m2 cellar-ventilation-m3-h=15 h-tr-w-k=200 h-ve-w-k=100 theta-e-c=32 theta-set-c=26 cooling-delta-t-h=10 cooling-gains-kwh=5 cooling-utilization-factor=0.8 cooling-reference-kwh=20 chiller-type=air_cooled eer-actual=3 q-c-kwh=1000 generation-reference-kwh=400 data-center-supply-c=22 h-st-w-k=5 theta-st-c=60 theta-amb-c=20 storage-t-h=24h storage-allowance-kwh=6 dhw-delivery-c=58 duct-class=C duct-test-pressure-pa=400Pa duct-leakage-m3-s-m2=0.1\n" | 507 | 018953504b0d0a1a0a010000000100000001000000ef65ef8800000000000000000303312c012c00d3ff06013201430249490a6169725f636f6f6c65640c63656e7472616c5f6d6563680b7265736964656e7469616cf26991ab0403ff0199043dd1b95202411006e05db667c4156f54bc51f156bc10118ff923ab0cd4c4b2ca17b034d3d0085222420ade84b721a2202324a460ffea8ebeee9deded9d7ef442dfb726666381f146918750cf30a6511f46d359d6b218a32a88538271aa8050c209eb25a2bcfc8749ea0353124c3379c38c04b37ce71d73917e6b981749b2dc710be66b146db7686549fc149f785856ad503db74aa5b1a6a3ae53096c502db719e9bb8ab49edba232d8d65fdfa1fa2e130925ec72fe27ece9b97ded7240fde090fac411051c53459ce8d74ea924b2bce8ae3b632d87731b5c3089e392435471c5da3f72bab16b6d94a75e71a38d0aba9d5b2a8522f5823bebdf6bcb075df800712d5c0701033530013000cfff00bd0723252082ea7f38c2e17673d809be47c1be8c0a6fdde5683b6904a8d0211a5989020120390000000099043e00067d11de0d0000007aa3646053504b464f4f5431010000000100000062010000000000003d00000000000000fa0100000000000062bc4c40fad2486fd2302678869623e814136ceb61fa55479c09cd373df3a65500000000000000003329006c
din18599 | op/set-document-default | set-document "use-class=residential heated-area-m2=100m2 occupants=4 h-t=92.12124613902822 h-v=40.800000000000004 internal-gains-w-m2=3.5 solar-gains-kwh=84 system-losses-kwh=800 renewable-kwh=1500 annual-limit-kwh=7500 energy-carrier=natural_gas reference-q-p-kwh=10000\nclimate {\n  theta-e-c=-14,-11.186533479473212,-3.4999999999999964,7.000000000000001,17.5,25.186533479473212,28,25.186533479473212,17.5,7.000000000000001,-3.4999999999999964,-11.186533479473212 g-h-w-m2=30,60,100,140,180,200,210,190,140,90,40,20\n}\n" | 394 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003030f0d63e4ce4b2c292d4acc894f4f2c060053a5a2420403b001ae025d4fbd0e014118dc3bb777dc8f4e274a854844a291884c71a5c835884a3477a1d25e858e27d02abd8464c3ab78021a1deebe6f0b37cdcc7c3bb3bb5f205c614891630ed3b24ab291b6b63767064b26718610b21a98a2e653aaadce8f57b45f34d5fb93c153463eaf23a75d17d133bda84e9fbc18fcfbdfb9ceebbebecfd04f0cb93a86fe185597cc31cf57c45813aba4909b722e64eec1e6557d38ac2628b33aa2426a73824b6a7485670b9fcce18e2fb306805d01033530013000cfff00aa35ad7e21807ec7ee56785f950c4a2272cedbe93a4c3e21011dcda7863f553d37ba0101201700000000ae020d0001343f22310000007aa3646053504b464f4f54310100000001000000f1000000000000003d000000000000008901000000000000a087114864458d0bffb2bca5f21d58a79805d859e60b3220326f79499c8ae24a00000000000000004259ba86
en1990 | op/set-document-default | set-document "g-k=100 resistance-kn=300kN consequence-class=2 annex=de seismic-a-ed-kn=40kN\nq-k [category:TEXT value:NUM] {\n  office 50\n  wind 30\n}\n" | 266 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003030f0d6362cb4f4bcb4c4e6529cfcc4b01007e562b14040334412d8bb10d00200cc3dad03230730fcac0c209bcc1859c06a2648912d9595c5e26b50272a7aa587c83d18d086a2f268315f56f751ec9386abc0103332e012e00d1ff00173f6eb5d82eeda5d950018706e4c69dfe0c7fdc7aa9a2d60224ff771d328e3b373c01201700000000410600028b4faf450000007aa3646053504b464f4f5431010000000100000073000000000000003b0000000000000009010000000000004a8d645c93ea95e3362182c28f81c344c2a48fa675130bed7a9e9c4612c1b5b80000000000000000e4f8ac6f
en1991 | op/set-document-default | set-document "area-m2=50m2 category=b annex=de self-weight-material=reinforced_concrete self-weight-thickness-m=0.2m assumed-g-k-kn-m2=6kN/m2 fire-curve=standard fire-resistance-min=30 fire-member-capacity-c=900 snow-zone=2 snow-altitude-m=150m en-s-k-kn-m2=0.85kN/m2 wind-zone=2 en-v-b-m-s=25m/s delta-t-k=30K construction-activity=scaffolding accidental-mass-t=30t accidental-speed-km-h=80 bridge-lane=1 bridge-span-m=20m bridge-lane-width-m=3m bridge-moment-resistance-knm=3000 crane-class=HC2 hoist-class=HC2 hoisting-speed-m-s=0.5m/s silo-bulk-density-kn-m3=8 silo-height-m=12m silo-hydraulic-radius-m=1.5m silo-mu=0.4 silo-k=0.4 c-s=1 c-d=1\n" | 389 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003032a25012500daff0303484332137265696e666f726365645f636f6e63726574650b73636166666f6c64696e673535423804039001fb013dceab1102311804e02424e108eff7f18ec483c190b5782aa0020aa101688036b09480c3639048e62e3b59f5ed6c32f37b61449903a493cac98a95dadcae459ec170cc619da8b2ec9145f90b6a5ab9581e27d4cda6cc2734b46af2f50eadf4af6d5527952e75444fcb3ecb16032ac330ea7cc7c88ab11539977798501e536a8d19f50b739eff0a8ba425d76f5825fd0130c3642501033530013000cfff0040a0d30493311e8578aa4c8e2cd59015c23a7ef1fc8ee114399429d319957b43529a0101203200000000fb012000032048a0070000007aa3646053504b464f4f54310100000001000000ec000000000000003d000000000000008401000000000000176b8073d50e3a2aeb07f635d37503f37b8782557b7e9724e7b34c7a0f463a100000000000000000b6c18ca0
en1992 | op/set-document-default | set-document "annex=de m-ed-knm=120 v-ed-kn=80kN f-ck=30 b-mm=300mm d-mm=450mm a-s-mm2=1200mm2 f-yk=500 rho-l=0.01 n-ed-kn=0kN p-kn=0kN a-c-mm2=135000mm2 use-fem=false span-m=6m udl-kn-m=20 fire-rating=r60 provided-axis-distance-mm=30mm bridge-sigma-c-mpa=12MPa bridge-delta-sigma-s-mpa=100MPa tightness-class=tc1 hd-over-h=10 liquid-sigma-s-mpa=200MPa liquid-rho-p-eff=0.01 liquid-f-ct-eff-mpa=2.9MPa liquid-e-s-mpa=200000MPa liquid-s-r-max-mm=250mm anchor-h-ef-mm=80mm anchor-cracked=false anchor-f-uk-mpa=800MPa anchor-f-yk-mpa=640MPa anchor-a-s-mm2=84.3mm2 anchor-d-mm=12mm anchor-c1-mm=100mm anchor-n-ed-kn=10kN anchor-v-ed-kn=5kN\n" | 371 | 018953504b0d0a1a0a010000000100000001000000ef65ef880000000000000000030303016300001d75fe6e0403a501ba023dcf390ec2301005501b3009662701c21e96821e6af8a9b8001434f4d0205106249a34b41c8433e42adc2452fce5a99ec71afd99a5d0522a91d70505ea8822b543c9287d4019852f94d9fbc231c21bae7afabfc33f4ef615ce0aa1adaab9d25844355967374083daa2a965cb46b6a9353ad4199e963e1f2b74a92b7a36b5af36793908ccefcd8d06dcee8ea1bd6c24c7f407132ac1d44c7b27cc6c7868c3e7367941f9c800cd0aea8a01033530013000cfff0032210adba30833ac85529be8064f53a6b1bcf00d9537a69161e1947143eab0192baf0101200b00000000ba02230000b69fb9a10000007aa3646053504b464f4f54310100000001000000da000000000000003d000000000000007201000000000000f4b19cead953b5ad6ee1b0d34f7c331a7cf0d6f9cdc851e1b94559e94db531980000000000000000491f23f8
en1993 | op/set-document-default | set-document "annex=de n-ed-kn=500kN m-ed-knm=150 v-ed-kn=80kN a-mm2=5000mm2 a-v-mm2=2500mm2 w-pl-mm3=500000 f-y-mpa=355MPa f-u-mpa=510MPa chi=0.75 a-net-mm2=4250mm2 tension-n-ed-kn=400kN fire-thickness-mm=20mm fire-rating=r60 fire-massivity=150 fire-mu-0=0.5 fire-design-temperature-c=550 cf-b-bar-mm=90mm cf-t-mm=2mm cf-k-sigma=4 cf-psi=1 cf-n-ed-kn=20kN cf-gross-resistance-kn=50kN stainless-m-ed-knm=40 stainless-w-pl-mm3=300000 stainless-f-y-mpa=220MPa plated-lambda-p=0.8 plated-sigma-ed-mpa=200MPa silo-t-mm=8mm silo-r-mm=3000mm shell-sigma-x-ed-mpa=150MPa silo-k=0.4 silo-gamma-kn-m3=18 silo-depth-m=5m bolt-f-ed-kn=120kN bolt-n-bolts=2 bolt-a-s-mm2=245mm2 bolt-e1-mm=40mm bolt-e2-mm=40mm bolt-d0-mm=22mm bolt-d-mm=20mm bolt-t-mm=10mm bolt-f-u-mpa=510MPa bolt-f-ub-mpa=800MPa weld-a-mm=5mm weld-l-mm=100mm weld-f-u-mpa=510MPa weld-steel-grade=S355 weld-f-ed-kn=80kN delta-sigma-mpa=50MPa fatigue-category=71 fatigue-method=damage_tolerant t10-steel-subgrade=J2 t10-actual-thickness-mm=25mm t10-t-ed-c=0 tension-component-f-uk-kn=500kN tension-component-f-k-kn=350kN tension-component-n-ed-kn=250kN hss-w-el-mm3=400000 hss-f-y-mpa=460MPa hss-section-class=2 hss-m-ed-knm=100 bridge-lambda=1 bridge-phi-2=1 bridge-delta-sigma-p-mpa=30MPa tower-wind-factor=1.1 tower-n-ed-kn=300kN pile-sigma-mpa=280MPa pile-k-red=0.85 pile-n-ed-kn=400kN crane-f-z-ed-kn=50kN crane-wheel-contact-length-mm=100mm crane-dispersion-mm=50mm crane-t-w-mm=10mm\n" | 559 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003031f1d6361f2326209363635e54f49cc4d4c4f8d2fc9cf492d4acc2b612e3233000031477d000403c502ad053d92cb2e435118854f4fcf39a85b5551b72aea7eabb64a5dbad7a1544d4c4462626086c42d2191485a89018fa0238981a9c40b780db30e89096f20ed5efe7ff49d75fedb5e7b6f193e8fc7362a81024c4def07f06a32766069ba7f834d7a8653a5e25dd8add15aec0ab59aca05d4b1f653f934955e514fed1a0da4241a1d6f930c6ca65c567eb6bc458ba6e22e02fc6ba095e44790f4a3daa4653b298f0e521621bdec76c0ed64bf6374d9a5c74a7ca96ee61da2871441afa6b3178465bf3e567ca808f3e2e827053140dac7a06546f5c7d30986648961a111520aa3b2f618298a71717182da032665cc14690fd39237e378627259b372feb8954b3866d231e628a591fa37d198971b5f609f4ba4a99d6251d351c85de2f16fb06c992b323c23ce2b21903270e9d4af5a65f905d6e8fc39b276a21adf6a5d9ec4866c9d93199ba2e5c59c3f92ee7e7801033530013000cfff0037ba87aefd27d032b31d785759527352fba442596bd82357f83fbec75f33cfc747cf0201202700000000ad054a00048b3a8e8c0000007aa3646053504b464f4f5431010000000100000096010000000000003d000000000000002e020000000000006ebeca52ac02c2053773ed43c1d5c3ee85fc8f7238685fa918fd4db554f32789000000000000000096186f54
en1994 | op/set-document-default | set-document "annex=de m-ed-knm=200 v-ed-kn=120kN m-pla=80 m-pl-rd=250 eta=0.75 v-l-rd=150 insulation-thickness-mm=20mm fire-rating=r60 deck-type=trapezoidal delta-sigma-mpa=65MPa fatigue-detail=stud_welded d-mm=19mm h-sc-mm=95mm f-ck-mpa=30MPa f-u-mpa=450MPa e-cm-mpa=33000MPa v-ed-per-stud-kn=40kN span-m=8m f-y-mpa=355MPa n-cycles-stud=2000000 delta-tau-stud-mpa=40MPa\n" | 349 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003031f1d63662e3233e02e2e294d892f4fcd49494de12e294a2c48adcacf4c49cc010005087735040375c1013dcb3d0e44501405e0f7cc783363feff74124b9050732416a090e8143a954ea5505898a5282d43e29eb8d59773ce7595a3b5adb66b6051150e5481a3082d6c664b6244538d13b30867a32ec672b8ce7135fac632c49d0f251ecc623c457e8f97c89bf1669be143f9f88a820ebf4dc318a7ff7db702441d0c420103342f012f00d0ff002b55576e5650e67486bdd22d934ad147096ad0a483ab7cf87fd0040aa41341d5477e01202700000000c1011600031019b5700000007aa3646053504b464f4f54310100000001000000c5000000000000003c000000000000005c010000000000000b72cc8f7123696aacb33e9762805200036dee09add922a044e4a5249a6c20b900000000000000007f202deb
en1995 | op/set-document-default | set-document "annex=de m-ed-knm=25 n-ed-kn=50kN v-ed-kn=15kN w-mm3=1000000 a-mm2=20000mm2 b-mm=200mm h-mm=300mm f-m-k=24 f-c-0-k=21 service-class=sc1 load-duration=medium m-crit-knm=80 f-ed-kn=18kN a-ef-mm2=12000mm2 f-v-k=4 fire-duration-min=30 section-depth-mm=300mm a-vert-m-s2=0.3m/s2 n-cycles-bridge=500000\n" | 326 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003030e0c6362cb4d4dc92ccd652e4e360400b47ecbea04036fb4013dcebb0d83401004d03bdb77b6b1f9135302010809121842729a2043544040405964144043487723267a3b2bad36118e944a98d478503d9e548697d1b2669db2dd7642733be26db5cff8b0abf0a54a385afeb4f8731ee052393cabe980cf2e40403508efab912a4cce36e61f6977016a3086140103342f012f00d0ff0080cb738ed4aace5b6300c895065c4e1c2bdd9e609b242ab956207b15b54479ab367801201600000000b40114000264d3b90f0000007aa3646053504b464f4f54310100000001000000ae000000000000003c0000000000000045010000000000003c612399fc62f19290f951c012a3fbc97ddb85f2176c143c9b76e9bbcf2517ca000000000000000076f4168d
en1996 | op/set-document-default | set-document "m-ed-knm=8 n-ed-kn=200kN v-ed-kn=35kN h-ed-kn=20kN z-mm3=8000000 area-mm2=500000mm2 shear-area-mm2=300000mm2 f-k-mpa=5MPa f-vk-mpa=0.15MPa annex=de masonry-class=class3 design-situation=persistent mu=0.4 wall-thickness-mm=240mm fire-resistance-min=60 unit=clay exposure=mx1 mortar=m5 bed-joint-thickness-mm=12mm storeys=2 h-ef-mm=2500mm t-ef-mm=240mm\n" | 323 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003030806636449ce49ac0400bc204010040372a5013d8abb0d84301005179fcddded7df813224272089158574007e424d44040400b90520a55d00dc25e31d1bca7494181212787ad27616dd4f4e0af22696c9c3aadd832ed5a6b43fde42ea6972a0d7bf34607517c10be6a5d2e8ee6c7d9407f597b2ef808018a90df822229623be68d923b3e01b3f9591e0103342f012f00d0ff0069e1948f4c639dcb99fbc006caef5012b0050e9fee5e1a768b05b365b81b6667307b01201000000000a5011600011f82abfa0000007aa3646053504b464f4f54310100000001000000ab000000000000003c000000000000004201000000000000c2bc967c1fb1375eab68a0426bdb2c78beaae13abb6af1b2e2b71822762b5cc00000000000000000eaf7840b
en1997 | op/set-document-default | set-document "v-ed-kn=500kN h-ed-kn=80kN footing-area-m2=2m2 phi-deg=30 c-kpa=0kPa gamma-kn-m3=18 b-m=2m d-f-m=1.5m e-s-mpa=30000MPa nu=0.3 design-approach=da1str annex=de settlement-limit-mm=25mm n-pile-ed-kn=800kN alpha-s=0.7 pile-d-m=0.6m q-s-kpa=80kPa pile-l-m=12m q-b-kpa=2500kPa pile-base-area-m2=0.28m2 pile-n-profiles=1 z-investigated-m=8m\n" | 338 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003030a0863644b49342c2e290200805e7bad04037ec8013dce3b0e82501085e1b9caa0e2fb591a4b6bad6c9cb3001b13d7e036ac4c741d6ec26d186b2a121a580025817be0545f267f311b51a986079c97dcd0a1045dea8ca0b9895207846dd7a30aeb7b5d620cf458ef6f5128c3c88dd89c30a6de98e8bd5e6a53d689cdda3fe6d41e0bafd7074bcdafdfed33fbd92a706b063b942f43a7a401033530013000cfff00aec8aae6457ceaa1623d4e8c4370a196273cd2d4bd19ccf9772f60393ca5fad732870101201200000000c8011600019e6061e90000007aa3646053504b464f4f54310100000001000000b9000000000000003d0000000000000051010000000000003d27f47d4bcb2e2cbdc59090b7ffda3d61c5c6555d3082110e818c4724bcd0c90000000000000000f1062cda
en1998 | op/set-document-default | set-document "seismic-zone=2 ground-type=b importance-class=cc2 structural-system=moment_frame_dch t1-s=0.3s mass-t=500t v-rd-kn=800kN drift-mm=20mm height-m=12m multiple-resisting-systems=true annex=de en-a-gr=0.15 en-ground-type=b en-spectrum-type=type1 period-ratio=2 bridge-v-rd-kn=600kN bearing-d-ed-mm=120mm bearing-d-rd-mm=250mm retrofit-knowledge-level=kl2 retrofit-limit-state=significant_damage retrofit-e-d-kn=250kN retrofit-r-k-kn=400kN retrofit-gamma-el=1 silo-height-m=10m silo-radius-m=5m silo-n-rd-kn=500kN silo-v-ed-kn=180kN silo-v-rd-kn=300kN silo-q-nominal=2 tank-height-m=8m tank-radius-m=4m tank-mass-t=300t tank-v-rd-kn=400kN tower-m-ed-knm=1200 tower-m-rd-knm=2500 tower-is-chimney=true tower-q-nominal=2.5 tower-mass-t=80t foundation-area-m2=100m2 foundation-p-rd-kpa=500kPa foundation-h-ed-kn=150kN foundation-h-rd-kn=400kN k-foundation=500000 k-soil=200000 wall-height-m=4m wall-phi-deg=30 wall-soil-gamma-kn-m3=18 wall-r=1.5 wall-h-rd-kn=150kN\n" | 471 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003033d38013800c7ff07016203636332026465036b6c32106d6f6d656e745f6672616d655f646368127369676e69666963616e745f64616d616765057479706531d46c8a940403cf019c033dcebb7241511406e06d3b6745ee92c83d114924ee77b5f37b078d46a15068cce8548c51d07a052f62c6237811a5d2b0ff59bbfaf6ba578c674362ac84c2e2797eedf4b681ef9be3c318e2641638a3ea8850699cdb0bb1976cdb045762ae456e9836b8755a4f1165ac833b8e1ee05ec20fe2c7f4ffc89a119ea85df04c25f142c5f0aac7bd394d7a78e7a6213e74fb2795409c8ae24beb12baed9bb1257e9ce62bfcda24f31efea816fea936527a439add5d647462f6a4c92cdeccb9583fd2cceb0d05aa8122554589da07659d77009c9727b401033530013000cfff00e4b25b180efc32b711c9ac05e35dc58581a58933b94a5679a283535c864b0bec65d901012045000000009c03310007c07573a50000007aa3646053504b464f4f543101000000010000003e010000000000003d00000000000000d60100000000000044e6536cca93be8eee8054788223daf83f2bcaea5aec420e9f0faa135a329566000000000000000096c0e3a0
en1999 | op/set-document-default | set-document "n-ed-kn=80kN m-ed-knm=4 a-mm2=1200mm2 w-el-mm3=24000 alloy=aw6060t6 chi=0.85 i-t-mm4=5000mm4 l-cr-mm=3000mm theta-c=200 delta-sigma-ed=45 delta-sigma-c=71 fatigue-m=8 n-cycles=500000 v-weld-ed-kn=25kN weld-throat-mm=4mm weld-length-mm=120mm beta-w=0.63 sheet-b-mm=200mm sheet-t-mm=2mm sheet-k-sigma=4 sheet-w-el-mm3=8000 sheet-m-ed-knm=0.5 shell-t-mm=4mm shell-r-mm=500mm sigma-ed-shell-mpa=150MPa annex=de\n" | 365 | 018953504b0d0a1a0a010000000100000001000000ef65ef88000000000000000003030c0a63e4482c3733303328310300f8984ebc04039601f7013d8e2d0ec2401484b7c016287fe5ff47102468146a0783274112040ec70da840e048b80407e000102e515b51575ddf64df649ffa32f366de9b29adec1ce0914294847e2f9485ae312abed27a6d2733bec88f0faa5c78a3c6f80575a1688780457b34e82ed0b414dde7db16b50ddaee74877442a857c7e73f5fa6a6eb9a7b2485be4b0c84f0c5905a6246ce1dd3bd61c25fce98065e0115a8aa8e01033530013000cfff00091c18692d948d2324f14987f8f00d2f06b183be5a28ed8e8381bb2320c22de034a00101201400000000f7011a000168e07edb0000007aa3646053504b464f4f54310100000001000000d4000000000000003d000000000000006c01000000000000185b51edacd9ccd56f6b790d767f2031efb258d71485d99112aef5fac1678a2300000000000000008666dd97
